Exporter Clean,Lotid,Entry Date,Initial Stock,Sale Date,Sale Quantity,Variety,Retailer Name,Sales Amount,Packaging Style,Current Inventory,Weighted Days In Inventory
Agrolatina,24A0005623,03/13/2025,240.0,,,AUTUMN CRISP,,,Unknown,0.0,17.0
Agrolatina,24A0005623,03/13/2025,1360.0,,,AUTUMN CRISP,,,Unknown,0.0,17.0
Agrolatina,24A0005623,,,03/28/2025,80.0,AUTUMN CRISP,KROGER,2000.0,Clam,0.0,17.0
Agrolatina,24A0005623,,,03/29/2025,240.0,AUTUMN CRISP,COSTCO WHOLESALE,7463.04,Clam,0.0,17.0
Agrolatina,24A0005623,,,03/31/2025,960.0,AUTUMN CRISP,COSTCO WHOLESALE,29760.0,Clam,0.0,17.0
Agrolatina,24A0005623,,,04/01/2025,160.0,AUTUMN CRISP,COSTCO WHOLESALE,4975.36,Clam,0.0,17.0
Agrolatina,24A0005623,,,04/01/2025,160.0,AUTUMN CRISP,COSTCO WHOLESALE,4972.06,Clam,0.0,17.0
Agrolatina,24A0026441,03/03/2025,1120.0,,,TIMCO,,,Unknown,80.0,28.0
Agrolatina,24A0026441,03/03/2025,480.0,,,TIMCO,,,Unknown,80.0,28.0
Agrolatina,24A0026441,,,03/27/2025,320.0,TIMCO,COSTCO WHOLESALE,8513.92,Clam,80.0,28.0
Agrolatina,24A0026441,,,04/01/2025,80.0,TIMCO,COSTCO WHOLESALE,2110.97,Clam,80.0,28.0
Agrolatina,24A0026441,,,04/01/2025,480.0,TIMCO,COSTCO WHOLESALE,12750.24,Clam,80.0,28.0
Agrolatina,24A0026441,,,04/02/2025,240.0,TIMCO,COSTCO WHOLESALE,6332.91,Clam,80.0,28.0
Agrolatina,24A0026441,,,04/02/2025,320.0,TIMCO,KROGER,8320.0,Clam,80.0,28.0
Agrolatina,24A0026441,,,04/03/2025,80.0,TIMCO,COSTCO WHOLESALE,2125.04,Clam,80.0,28.0
Agrolatina,24A0057740,02/24/2025,1280.0,,,TIMCO,,,Unknown,1600.0,
Agrolatina,24A0057740,02/24/2025,320.0,,,TIMCO,,,Unknown,1600.0,
Agrolatina,24A0066022,03/03/2025,1360.0,,,TIMCO,,,Unknown,0.0,21.0
Agrolatina,24A0066022,03/03/2025,240.0,,,TIMCO,,,Unknown,0.0,21.0
Agrolatina,24A0066022,,,03/21/2025,480.0,TIMCO,COSTCO WHOLESALE,12480.0,Clam,0.0,21.0
Agrolatina,24A0066022,,,03/24/2025,800.0,TIMCO,COSTCO WHOLESALE,21284.8,Clam,0.0,21.0
Agrolatina,24A0066022,,,03/26/2025,80.0,TIMCO,COSTCO WHOLESALE,2128.48,Clam,0.0,21.0
Agrolatina,24A0066022,,,03/29/2025,80.0,TIMCO,KROGER,2080.0,Clam,0.0,21.0
Agrolatina,24A0066022,,,03/29/2025,80.0,TIMCO,KROGER,2080.0,Clam,0.0,21.0
Agrolatina,24A0066022,,,03/31/2025,80.0,TIMCO,COSTCO WHOLESALE,2110.97,Clam,0.0,21.0
Agrolatina,24A0066887,02/13/2025,960.0,,,SWEET GLOBE,,,Unknown,196.0,12.0
Agrolatina,24A0066887,02/13/2025,640.0,,,SWEET GLOBE,,,Unknown,196.0,12.0
Agrolatina,24A0066887,,,02/20/2025,80.0,SWEET GLOBE,COSTCO WHOLESALE,2478.08,Clam,196.0,12.0
Agrolatina,24A0066887,,,02/24/2025,480.0,SWEET GLOBE,COSTCO WHOLESALE,14605.02,Clam,196.0,12.0
Agrolatina,24A0066887,,,02/26/2025,240.0,SWEET GLOBE,COSTCO WHOLESALE,7439.4,Clam,196.0,12.0
Agrolatina,24A0066887,,,02/26/2025,199.0,SWEET GLOBE,COSTCO WHOLESALE,6060.96,Clam,196.0,12.0
Agrolatina,24A0066887,,,02/26/2025,120.0,SWEET GLOBE,COSTCO WHOLESALE,3719.7,Clam,196.0,12.0
Agrolatina,24A0066887,,,02/27/2025,160.0,SWEET GLOBE,COSTCO WHOLESALE,4884.16,Clam,196.0,12.0
