Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
MDT,24M1448891,1631.0,49939.020000000004,15368.84,3995.12,30575.06000000001,18.746204782342126,0.0,0.0,11.556549604312153
MDT,24M1590530,1920.0,44334.78,15894.710000000001,1773.3899999999999,26666.68,13.888895833333333,0.0,0.0,6.2355331755512555
MDT,24M1613300,1600.0,0.0,14127.289999999999,0.0,-14127.289999999999,-8.82955625,0.0,-0.0,-0.0
MDT,24M1619510,1690.0,49176.41,17483.47,3934.12,27758.820000000003,16.42533727810651,0.0,0.0,12.413237774722067
MDT,24M2506153,2112.0,30720.0,14175.65,2457.6,14086.749999999998,6.669862689393939,0.0,0.0,14.854618041808838
MDT,24M284346,0.0,0.0,16508.32,0.0,-16508.32,,0.0,-0.0,-0.0
MDT,24M6081612,1727.0,3925.48,13948.330000000002,314.04,-10336.890000000003,-5.985460335842503,0.0,-0.0,-3.133240545353866
MDT,24M6322659,1920.0,3781.7199999999993,14108.34,302.58000000000004,-10629.2,-5.536041666666667,0.0,-0.0,-2.9300971663525917
MDT,24M6374884,1335.0,37380.0,12329.949999999999,2990.4,22059.65,16.524082397003745,0.0,0.0,11.937700723152247
MDT,24M6375411,1600.0,2560.0,15859.74,204.8,-13504.539999999999,-8.4403375,0.0,-0.0,-1.5398797269721063
MDT,24M6698121,1733.0,45012.08,14927.550000000001,3600.97,26483.559999999998,15.281915753029427,0.0,0.0,11.969507251733697
MDT,24M6698986,1919.0,32741.52,12516.2,2619.29,17606.03,9.174585721730066,0.0,0.0,12.950549113685222
MDT,24M6955280,1876.0,36720.0,14056.83,1468.7999999999997,21194.37,11.297638592750532,0.0,0.0,6.480999789526354
MDT,24M7393565,1600.0,47751.68,14040.619999999999,1910.0800000000002,31800.979999999996,19.8756125,0.0,0.0,5.666033639998268
MDT,24M7504047,2304.0,49562.8,17952.34,1982.5,29627.960000000003,12.85935763888889,0.0,0.0,6.271658178969871
MDT,24M8048734,1600.0,0.0,14508.7,0.0,-14508.7,-9.067937500000001,0.0,-0.0,-0.0
MDT,24M8215456,0.0,0.0,8587.0,0.0,-8587.0,,0.0,-0.0,-0.0
MDT,24M8581603,1600.0,46595.84,12457.619999999999,3727.6800000000003,30410.54,19.006587500000002,0.0,0.0,10.919374238024126
MDT,24M9177032,0.0,0.0,15414.24,0.0,-15414.24,,0.0,-0.0,-0.0
MDT,24M9177109,1920.0,41280.0,12469.08,3302.4,25508.519999999997,13.285687499999998,0.0,0.0,11.462320536796465
MDT,24M9177264,1600.0,47472.0,16509.84,3797.76,27164.4,16.97775,0.0,0.0,12.265810912416963
MDT,24M9181259,1571.0,43638.0,13174.75,3491.04,26972.21,17.16881604073838,0.0,0.0,11.459840955905886
MDT,24M9181449,1600.0,47360.0,13213.75,3788.8,30357.45,18.97340625,0.0,0.0,11.095801149467366
MDT,24M9183939,1600.0,40000.0,12509.0,3200.0,24291.0,15.181875,0.0,0.0,11.64017314757557
MDT,24M9295291,1920.0,50112.0,14424.33,4008.96,31678.71,16.499328124999998,0.0,0.0,11.23345962344978
MDT,24M9295919,1920.0,41184.0,14179.1,3294.7200000000003,23710.18,12.349052083333333,0.0,0.0,12.200452510470322
MDT,24M9296197,1920.0,40608.0,12619.1,3248.64,24740.260000000002,12.885552083333334,0.0,0.0,11.606887015924169
MDT,24M9299822,1436.0,44952.83,18422.66,1798.0500000000004,24732.120000000003,17.222924791086353,0.0,0.0,6.77737835829925
MDT,24M9305635,1540.0,48597.63,21182.6,1943.98,25471.05,16.539642857142855,0.0,0.0,7.090927859644874
MDT,24M9307075,1633.0,48028.0,15166.57,3842.2400000000002,29019.19,17.770477648499693,0.0,0.0,11.692248328815879
MDT,24M9307809,1600.0,41923.52,15862.95,1677.0699999999997,24383.499999999996,15.239687499999997,0.0,0.0,6.435277509279344
MDT,24M9308699,1399.0,40316.0,12494.949999999999,3225.28,24595.770000000004,17.580964974982134,0.0,0.0,11.592948504819192
MDT,24M9336596,1600.0,42361.6,15865.84,1694.6,24801.16,15.500725,0.0,0.0,6.395740299580008
MDT,24M9338135,1600.0,42281.600000000006,15865.84,1691.3999999999999,24724.360000000004,15.452725000000003,0.0,0.0,6.4029957873633
MDT,24M9338480,869.0,24000.0,31078.01,1920.0,-8998.009999999998,-10.354441887226695,0.0,-0.0,-27.12626854158161
MDT,24M9345350,2160.0,52380.0,14445.98,4190.4,33743.62,15.622046296296297,0.0,0.0,11.046548718010902
MDT,24M9349910,1600.0,42767.36,14209.41,3421.4500000000003,25136.5,15.7103125,0.0,0.0,11.980726907918811
MDT,24M9350383,1600.0,41856.0,19886.18,3348.48,18621.34,11.6383375,0.0,0.0,15.241271890256725
MDT,24M9352940,1787.0,55654.94,17091.77,4452.39,34110.78,19.08829322887521,0.0,0.0,11.545705397144479
MDT,24M9507249,1824.0,34416.0,14723.48,2753.2799999999997,16939.24,9.28686403508772,0.0,0.0,13.981349263578249
MDT,24M9511131,1824.0,44759.44,13537.539999999999,3580.74,27641.160000000003,15.154144736842108,0.0,0.0,11.468680637629355
MDT,24M9623989,1431.0,45116.96,20738.59,1804.7300000000002,22573.64,15.774730957372466,0.0,0.0,7.402997001030013
MDT,24M9627475,1266.0,39895.11,20241.170000000002,1595.86,18058.079999999998,14.263886255924168,0.0,0.0,8.119796844805673
MDT,24M9628569,1920.0,42912.0,15894.710000000001,1716.48,25300.81,13.177505208333335,0.0,0.0,6.353264890742187
MDT,24M9630416,1600.0,0.0,12327.949999999999,0.0,-12327.949999999999,-7.704968749999999,0.0,-0.0,-0.0
MDT,24M9654909,1728.0,42240.0,26319.08,1689.6000000000001,14231.319999999998,8.235717592592591,0.0,0.0,10.6124520442286
MDT,24M9655757,1383.0,42799.479999999996,18755.68,3423.96,20619.839999999997,14.909501084598697,0.0,0.0,14.240511067302176
MDT,24M9667499,1920.0,25563.510000000002,12516.2,2045.1,11002.210000000001,5.730317708333334,0.0,0.0,15.67449535574766
MDT,24M9695084,1440.0,45409.19,21980.78,1816.41,21612.000000000004,15.008333333333336,0.0,0.0,7.7530229324141064
MDT,24M9695680,1600.0,46320.0,13243.75,3705.6,29370.65,18.35665625,0.0,0.0,11.203204716375042
MDT,24M9696115,1632.0,51833.97,19423.14,4146.7,28264.13,17.31870710784314,0.0,0.0,12.794180216921319
MDT,24M9696202,1851.0,57163.54,17114.32,4573.08,35476.14,19.165931928687197,0.0,0.0,11.418649351972396
MDT,24M9698653,1291.0,21600.0,24467.15,1728.0,-4595.1500000000015,-3.559372579395818,0.0,-0.0,-60.26890814920737
MDT,24M9699500,1438.0,42054.0,13003.77,3364.3199999999997,25685.91,17.862246175243392,0.0,0.0,11.581044280888653
MDT,24M9723205,1347.0,42279.71,20159.670000000002,1691.1200000000003,20428.92,15.166236080178173,0.0,0.0,7.645194131656184
MDT,24M9740100,1600.0,0.0,13008.75,0.0,-13008.75,-8.13046875,0.0,-0.0,-0.0
MDT,24M9741003,1600.0,44800.0,13371.25,3584.0,27844.75,17.40296875,0.0,0.0,11.403571570616077
MDT,24M9832431,1619.0,52690.17,17643.81,4215.21,30831.15,19.043329215565166,0.0,0.0,12.027525825791892
MDT,24M9861879,1600.0,42320.0,12483.77,3385.6,26450.63,16.53164375,0.0,0.0,11.34727812461561
MDT,24M9861890,1600.0,42241.6,15862.93,1689.8000000000002,24688.87,15.43054375,0.0,0.0,6.4059332786679555
MDT,24M9869381,1600.0,40035.0,12549.57,3202.8,24282.63,15.17664375,0.0,0.0,11.652719277086078
