Exporter Clean,Lotid,Retailer Name,Sale Date,Sale Quantity,Sales Amount,Price Four Star,Sale Price Calc,Price Difference,Variety,Packaging Style,Packaging Detail,Size,Exporter Country
Agrolatina,24A0005623,KROGER,03/28/2025,80.0,2000.0,25.0,25.0,0.0,AUTUMN CRISP,Clam,Clam (Generic),JJJ,Peru
Agrolatina,24A0005623,COSTCO WHOLESALE,03/29/2025,240.0,7463.04,31.1,31.096,0.004000000000001336,AUTUMN CRISP,Clam,Clam (Generic),JJ,Peru
Agrolatina,24A0005623,COSTCO WHOLESALE,03/31/2025,960.0,29760.0,31.0,31.0,0.0,AUTUMN CRISP,Clam,Clam (Generic),JJJ,Peru
Agrolatina,24A0005623,COSTCO WHOLESALE,04/01/2025,160.0,4975.36,31.1,31.095999999999997,0.0040000000000048885,AUTUMN CRISP,Clam,Clam (Generic),JJJ,Peru
Agrolatina,24A0005623,COSTCO WHOLESALE,04/01/2025,160.0,4972.06,31.08,31.075375,0.004624999999997215,AUTUMN CRISP,Clam,Clam (Generic),JJJ,Peru
Agrolatina,24A0026441,COSTCO WHOLESALE,03/27/2025,320.0,8513.92,26.61,26.606,0.003999999999997783,TIMCO,Clam,Clam (Generic),J,Peru
Agrolatina,24A0026441,COSTCO WHOLESALE,04/01/2025,80.0,2110.97,26.39,26.387124999999997,0.0028750000000030695,TIMCO,Clam,Clam (Generic),J,Peru
Agrolatina,24A0026441,COSTCO WHOLESALE,04/01/2025,480.0,12750.24,26.56,26.563,-0.0030000000000001137,TIMCO,Clam,Clam (Generic),XL,Peru
Agrolatina,24A0026441,COSTCO WHOLESALE,04/02/2025,240.0,6332.91,26.39,26.387125,0.002874999999999517,TIMCO,Clam,Clam (Generic),J,Peru
Agrolatina,24A0026441,KROGER,04/02/2025,320.0,8320.0,26.0,26.0,0.0,TIMCO,Clam,Clam (Generic),J,Peru
Agrolatina,24A0026441,COSTCO WHOLESALE,04/03/2025,80.0,2125.04,26.56,26.563,-0.0030000000000001137,TIMCO,Clam,Clam (Generic),J,Peru
Agrolatina,24A0066022,COSTCO WHOLESALE,03/21/2025,480.0,12480.0,26.0,26.0,0.0,TIMCO,Clam,Clam (Generic),J,Peru
