Lotid,Chargedescr,Chgamt,Chgqnt,Initial Stock,Cost per Box,Exporter Clean,Exporter Country,Season
0001-0010239,CHARGE LIQUIDATION ADJUST,529.75,0.0,1800,0.29430555555555554,ECO,Peru,2023-2024
0001-0010239,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010239,COMMISSION,2034.0,101700.0,1800,1.13,ECO,Peru,2023-2024
0001-0010239,CUSTOMS CHARGE,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010239,HANDLING CHARGES,144.0,0.0,1800,0.08,ECO,Peru,2023-2024
0001-0010239,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010239,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010317,CHARGE LIQUIDATION ADJUST,289.19,0.0,1800,0.16066111111111112,ECO,Peru,2023-2024
0001-0010317,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010317,COMMISSION,2089.7999999999997,104490.0,1800,1.1609999999999998,ECO,Peru,2023-2024
0001-0010317,COMMISSION LIQUIDATION ADJUST,-0.72,0.0,1800,-0.00039999999999999996,ECO,Peru,2023-2024
0001-0010317,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010317,HANDLING CHARGES,99.0,0.0,1800,0.055,ECO,Peru,2023-2024
0001-0010317,INSPECTIONS,755.25,1801.0,1800,0.4195833333333333,ECO,Peru,2023-2024
0001-0010317,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010320,CHARGE LIQUIDATION ADJUST,595.16,0.0,1798,0.33101223581757505,ECO,Peru,2023-2024
0001-0010320,COLD STORAGE CHARGE,800.0,1800.0,1798,0.44493882091212456,ECO,Peru,2023-2024
0001-0010320,COLD TREATMENT FEES,281.25,0.0,1798,0.1564238042269188,ECO,Peru,2023-2024
0001-0010320,COMMISSION,2071.2,103559.4,1798,1.1519466073414903,ECO,Peru,2023-2024
0001-0010320,COMMISSION LIQUIDATION ADJUST,-33.62,1800.0,1798,-0.018698553948832033,ECO,Peru,2023-2024
0001-0010320,HANDLING CHARGES,36.0,0.0,1798,0.020022246941045607,ECO,Peru,2023-2024
0001-0010320,INSPECTIONS,150.0,1.0,1798,0.08342602892102335,ECO,Peru,2023-2024
0001-0010320,YARD DRAYAGE FEES,615.0,0.0,1798,0.3420467185761958,ECO,Peru,2023-2024
0001-0010321,CHARGE LIQUIDATION ADJUST,607.51,0.0,1800,0.33750555555555556,ECO,Peru,2023-2024
0001-0010321,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010321,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010321,COMMISSION,2087.28,104358.6,1800,1.1596000000000002,ECO,Peru,2023-2024
0001-0010321,COMMISSION LIQUIDATION ADJUST,-1.63,0.0,1800,-0.0009055555555555555,ECO,Peru,2023-2024
0001-0010321,HANDLING CHARGES,54.0,0.0,1800,0.03,ECO,Peru,2023-2024
0001-0010321,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010321,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010325,CHARGE LIQUIDATION ADJUST,410.5,0.0,1800,0.22805555555555557,ECO,Peru,2023-2024
0001-0010325,COLD STORAGE CHARGE,832.0,5420.0,1800,0.4622222222222222,ECO,Peru,2023-2024
0001-0010325,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010325,COMMISSION,2030.3200000000002,101515.4,1800,1.1279555555555556,ECO,Peru,2023-2024
0001-0010325,COMMISSION LIQUIDATION ADJUST,-0.18,0.0,1800,-9.999999999999999e-05,ECO,Peru,2023-2024
0001-0010325,CUSTOMS CHARGE,0.0,1800.0,1800,0.0,ECO,Peru,2023-2024
0001-0010325,HANDLING CHARGES,234.0,1800.0,1800,0.13,ECO,Peru,2023-2024
0001-0010325,INSPECTIONS,135.0,1800.0,1800,0.075,ECO,Peru,2023-2024
0001-0010325,MISC. LABELS/STICKER/PLACARDS,15.5,5400.0,1800,0.008611111111111111,ECO,Peru,2023-2024
0001-0010325,OCEAN FREIGHT,0.0,0.0,1800,0.0,ECO,Peru,2023-2024
0001-0010325,PACKING MATERIALS,8.5,5400.0,1800,0.004722222222222222,ECO,Peru,2023-2024
0001-0010325,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010352,CHARGE LIQUIDATION ADJUST,936.21,0.0,1800,0.5201166666666667,ECO,Peru,2023-2024
0001-0010352,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010352,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010352,COMMISSION,2174.3999999999996,108719.36,1800,1.2079999999999997,ECO,Peru,2023-2024
0001-0010352,COMMISSION LIQUIDATION ADJUST,-14.45,0.0,1800,-0.008027777777777778,ECO,Peru,2023-2024
0001-0010352,HANDLING CHARGES,63.0,0.0,1800,0.035,ECO,Peru,2023-2024
0001-0010352,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010355,CHARGE LIQUIDATION ADJUST,756.0,0.0,1800,0.42,ECO,Peru,2023-2024
0001-0010355,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010355,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010355,CUSTOMS CHARGE,237.0,1800.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010355,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010355,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010361,CHARGE LIQUIDATION ADJUST,732.61,0.0,1800,0.40700555555555556,ECO,Peru,2023-2024
0001-0010361,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010361,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010361,COMMISSION,2397.2,119852.0,1800,1.3317777777777777,ECO,Peru,2023-2024
0001-0010361,COMMISSION LIQUIDATION ADJUST,0.35,0.0,1800,0.00019444444444444443,ECO,Peru,2023-2024
0001-0010361,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010361,HANDLING CHARGES,27.0,0.0,1800,0.015,ECO,Peru,2023-2024
0001-0010361,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010361,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010384,CHARGE LIQUIDATION ADJUST,618.1,0.0,1800,0.3433888888888889,ECO,Peru,2023-2024
0001-0010384,COLD STORAGE CHARGE,800.0,20.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010384,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010384,COMMISSION,2051.6,102579.92,1800,1.1397777777777778,ECO,Peru,2023-2024
0001-0010384,COMMISSION LIQUIDATION ADJUST,-0.8,0.0,1800,-0.00044444444444444447,ECO,Peru,2023-2024
0001-0010384,HANDLING CHARGES,45.0,0.0,1800,0.025,ECO,Peru,2023-2024
0001-0010384,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010384,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010387,CHARGE LIQUIDATION ADJUST,948.0,0.0,1800,0.5266666666666666,ECO,Peru,2023-2024
0001-0010387,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010387,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010387,HANDLING CHARGES,45.0,0.0,1800,0.025,ECO,Peru,2023-2024
0001-0010387,INSPECTIONS,158.0,1.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0010387,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010444,CHARGE LIQUIDATION ADJUST,823.07,0.0,1800,0.4572611111111111,ECO,Peru,2023-2024
0001-0010444,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010444,COLD TREATMENT FEES,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010444,COMMISSION,2361.8399999999997,118090.53,1800,1.3121333333333332,ECO,Peru,2023-2024
