Exporter Clean,Lotid,Entry Date,Initial Stock,Sale Date,Sale Quantity,Variety,Retailer Name,Sales Amount,Packaging Style,Current Inventory,Weighted Days In Inventory
AGL,BEAU9705215,12/30/2023,1600.0,,,ALLISON,,,Unknown,0.0,11.0
AGL,BEAU9705215,,,01/09/2024,400.0,ALLISON,COSTCO WHOLESALE,14792.65,Clam,0.0,11.0
AGL,BEAU9705215,,,01/09/2024,720.0,ALLISON,COSTCO WHOLESALE,26630.64,Clam,0.0,11.0
AGL,BEAU9705215,,,01/13/2024,480.0,ALLISON,COSTCO WHOLESALE,15352.86,Clam,0.0,11.0
AGL,BEAU9705637,12/27/2023,1600.0,,,ALLISON,,,Unknown,0.0,13.0
AGL,BEAU9705637,,,01/09/2024,480.0,ALLISON,COSTCO WHOLESALE,17753.76,Clam,0.0,13.0
AGL,BEAU9705637,,,01/09/2024,1120.0,ALLISON,COSTCO WHOLESALE,40302.5,Clam,0.0,13.0
AGL,BEAU9708195,01/15/2024,1600.0,,,ALLISON,,,Unknown,0.0,9.0
AGL,BEAU9708195,,,01/24/2024,1200.0,ALLISON,COSTCO WHOLESALE,35984.4,Clam,0.0,9.0
AGL,BEAU9708195,,,01/24/2024,400.0,ALLISON,COSTCO WHOLESALE,11994.8,Clam,0.0,9.0
AGL,BEAU9710607,02/04/2024,1900.0,,,SWEET GLOBE,,,Unknown,0.0,12.0
AGL,BEAU9710607,,,02/16/2024,1900.0,SWEET GLOBE,SEALED SWEET INTERNATIONAL,64790.0,Bag,0.0,12.0
AGL,BEAU9719420,01/28/2024,1900.0,,,SWEET GLOBE,,,Unknown,0.0,-2.0
AGL,BEAU9719420,,,01/24/2024,190.0,SWEET GLOBE,C.H. ROBINSON - EDEN PRAIRIE,7600.0,Bag,0.0,-2.0
AGL,BEAU9719420,,,01/25/2024,760.0,SWEET GLOBE,KROGER,21280.0,Bag,0.0,-2.0
AGL,BEAU9719420,,,01/26/2024,665.0,SWEET GLOBE,"JSTAR PRODUCE, LLC.",26600.0,Bag,0.0,-2.0
