Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
AGL,BEAU9705215,1600.0,56776.15,11258.98,45517.17,28.44823125,10.545471082670561
AGL,BEAU9705637,1600.0,58056.259999999995,11335.52,46720.73999999999,29.200462499999993,10.273809875442899
AGL,BEAU9708195,1600.0,47979.2,11627.4,36351.799999999996,22.719875,13.204297998998676
AGL,BEAU9710607,1900.0,64790.0,12165.95,52624.05,27.696868421052635,10.831549453149272
AGL,BEAU9719420,1900.0,66167.5,11990.15,54177.35,28.514394736842103,10.521001857787434
AGL,BMOU9274067,1600.0,48000.0,13580.0,34420.0,21.5125,13.945380592678674
AGL,BMOU9309899,1600.0,54369.9,11342.6,43027.3,26.8920625,11.155708120193458
AGL,BMOU9310230,1700.0,62900.0,11900.880000000001,50999.119999999995,29.999482352941175,10.000172551996975
AGL,BMOU9883335,1600.0,59076.56,11529.02,47547.53999999999,29.717212499999995,0.0
AGL,BMOU9889550,1600.0,59173.32,11530.22,47643.1,29.7769375,0.0
AGL,BMOU9889740,1600.0,57576.05,11193.1,46382.950000000004,28.989343750000003,0.0
AGL,BMOU9890648,1600.0,54369.16,11459.54,42909.62,26.8185125,11.186302745165303
AGL,BMOU9891270,1600.0,58612.130000000005,11774.89,46837.240000000005,29.273275,0.0
AGL,BMOU9891921,1600.0,56912.62,11324.9,45587.72,28.492325,0.0
AGL,BMOU9892147,1700.0,62900.0,20762.88,42137.119999999995,24.786541176470585,12.103342610980533
AGL,BMOU9892770,1513.0,51354.600000000006,17029.8,34324.8,22.68658294778586,13.984058173682001
AGL,BMOU9892980,1600.0,57426.33,11475.949999999999,45950.380000000005,28.718987500000004,0.0
AGL,BMOU9893061,1600.0,47975.0,10653.0,37322.0,23.32625,12.861047103585015
AGL,BMOU9893816,1600.0,54379.2,11496.4,42882.799999999996,26.80175,11.193298945031575
AGL,CAIU5542270,1600.0,47976.94,11448.109999999999,36528.83,22.83051875,13.140305889895734
AGL,CAIU5553870,1600.0,54368.8,12138.599999999999,42230.200000000004,26.393875,11.366273425179136
AGL,CRLU1324216,1600.0,54400.0,14817.0,39583.0,24.739375,12.126417906677109
AGL,CRSU6064441,1600.0,49920.0,15559.97,34360.03,21.47501875,13.969720049720562
AGL,CRSU6126939,1600.0,48000.0,15409.36,32590.64,20.36915,14.728155077654199
AGL,CRXU6955248,1600.0,44800.0,14281.92,30518.08,19.073800000000002,15.728381339848378
AGL,CTWU1600440,1700.0,62900.0,20762.8,42137.2,24.786588235294115,0.0
AGL,CTWU1600646,1600.0,57257.74,11279.58,45978.159999999996,28.736349999999998,0.0
AGL,CTWU1601025,1600.0,54375.68,11113.9,43261.78,27.0386125,11.095243885018139
AGL,CTWU1601278,1600.0,57573.79,11709.83,45863.96,28.664975,0.0
