Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
BORQUEZ,24TRA101481,990.0,29938.5,6329.78,23608.72,23.84719191919192,0.0
BORQUEZ,24TRA101484,900.0,24282.0,5175.8,19106.2,21.229111111111113,0.0
BORQUEZ,24TRA101486,2240.0,60326.4,12875.08,47451.32,21.183625,0.0
BORQUEZ,24TRA101487,2520.0,51129.0,10812.359999999999,40316.64,15.998666666666667,0.0
BORQUEZ,24TRA101488,1520.0,40953.6,8905.52,32048.079999999998,21.084263157894735,0.0
BORQUEZ,24TRA101490,2340.0,39312.0,9723.3,29588.7,12.644743589743591,0.0
BORQUEZ,24TRA101491,2240.0,60480.0,12927.0,47553.0,21.229017857142857,0.0
BORQUEZ,24TRA101492,2175.0,58236.07,12873.970000000001,45362.1,20.856137931034482,0.0
BORQUEZ,24TRA101493,2160.0,58320.0,12462.0,45858.0,21.230555555555554,0.0
BORQUEZ,24TRA101495,2520.0,29061.0,7815.75,21245.25,8.430654761904762,0.0
BORQUEZ,24TRA101497,2520.0,30411.0,6974.65,23436.35,9.300138888888888,0.0
BORQUEZ,24TRA101498,1935.0,49557.44,10247.62,39309.82,20.31515245478036,0.0
BORQUEZ,24TRA101499,1710.0,29457.0,6667.83,22789.17,13.326999999999998,0.0
BORQUEZ,24TRA101502,2520.0,41652.66,9102.95,32549.710000000003,12.916551587301589,0.0
BORQUEZ,24TRA101503,2520.0,40332.6,9216.44,31116.159999999996,12.347682539682538,0.0
BORQUEZ,24TRA101504,2100.0,54600.0,10965.5,43634.5,20.778333333333332,0.0
BORQUEZ,24TRA101505,2520.0,36873.0,8162.349999999999,28710.65,11.39311507936508,0.0
BORQUEZ,24TRA101514,960.0,17232.0,4106.0,13126.0,13.672916666666667,0.0
BORQUEZ,24TRA101515,2240.0,49216.0,11753.4,37462.6,16.724375,0.0
BORQUEZ,24TRA101516,2240.0,57916.0,11472.4,46443.6,20.73375,0.0
BORQUEZ,24TRA101517,2100.0,54645.0,10972.32,43672.68,20.796514285714284,0.0
BORQUEZ,24TRA101518,2520.0,36450.0,8337.0,28113.0,11.155952380952382,0.0
