Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
ECO,0001-0010239,1800.0,50850.0,6551.75,44298.25,24.61013888888889,0.0
ECO,0001-0010317,1800.0,52245.0,7019.29,45225.71,25.125394444444446,0.0
ECO,0001-0010320,1798.0,51779.74,6619.79,45159.95,25.116768631813123,0.0
ECO,0001-0010321,1800.0,52179.66,6690.14,45489.520000000004,25.271955555555557,0.0
ECO,0001-0010325,1800.0,50757.74,7407.87,43349.869999999995,24.08326111111111,0.0
ECO,0001-0010352,1800.0,54359.36,7044.26,47315.1,26.286166666666666,0.0
ECO,0001-0010355,1800.0,0.0,2847.25,-2847.25,-1.5818055555555555,-0.0
ECO,0001-0010361,1800.0,59926.4,7645.41,52280.990000000005,29.04499444444445,0.0
ECO,0001-0010384,1800.0,51290.0,6620.549999999999,44669.45,24.81636111111111,0.0
ECO,0001-0010387,1800.0,0.0,2847.25,-2847.25,-1.5818055555555555,-0.0
ECO,0001-0010444,1800.0,59045.58,7242.9400000000005,51802.64,28.779244444444444,0.0
ECO,0001-0010447,1800.0,58400.649999999994,7966.45,50434.2,28.019,0.0
ECO,0001-0010489,1800.0,59377.4,7259.96,52117.44,28.954133333333335,0.0
ECO,0001-0010562,1800.0,54061.55,7417.6,46643.950000000004,25.913305555555556,0.0
ECO,0001-0010564,1800.0,53503.64,6806.03,46697.61,25.94311666666667,0.0
ECO,0001-0010565,1800.0,53233.1,6642.85,46590.25,25.883472222222224,0.0
ECO,0001-0010583,1800.0,59290.79,7312.33,51978.46,28.876922222222223,0.0
ECO,0001-0010651,1800.0,53377.95,6924.82,46453.13,25.807294444444445,0.0
ECO,0001-0010653,1800.0,55035.0,6861.99,48173.01,26.762783333333335,0.0
ECO,0001-0010695,1800.0,59638.08,7615.79,52022.29,28.90127222222222,0.0
ECO,0001-0010698,1600.0,57575.0,7505.16,50069.84,31.29365,0.0
ECO,0001-0010704,1800.0,59765.84,7924.28,51841.56,28.800866666666664,0.0
ECO,0001-0010713,1800.0,59528.22,7193.49,52334.73,29.07485,0.0
ECO,0001-0010727,1800.0,60826.130000000005,7793.28,53032.850000000006,29.46269444444445,0.0
