Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
ELC,23E402041013,2112.0,77167.05,20469.85,56697.200000000004,26.845265151515154,0.0
ELC,BMOU9248284,1795.0,66232.33,11488.0,54744.33,30.49823398328691,0.0
ELC,BMOU9248290,2144.0,72912.0,12695.16,60216.84,28.086212686567162,0.0
ELC,BMOU9293452,2002.0,73916.0,12841.6,61074.4,30.506693306693307,0.0
ELC,BMOU9293600,1600.0,54400.0,9962.73,44437.270000000004,27.773293750000004,0.0
ELC,BMOU9330941,1600.0,54400.0,9957.0,44443.0,27.776875,0.0
ELC,BMOU9331378,1908.0,65182.06,11086.39,54095.67,28.35202830188679,0.0
ELC,BMOU9337695,2015.0,75641.19,13231.32,62409.87,30.97264019851117,0.0
ELC,BMOU9338599,2160.0,71704.98,13572.26,58132.719999999994,26.913296296296295,0.0
ELC,BMOU9338855,1600.0,54400.0,9957.0,44443.0,27.776875,0.0
ELC,BMOU9345509,2068.0,75217.68,18331.32,56886.35999999999,27.507911025145063,0.0
ELC,BMOU9352278,1600.0,54400.0,9807.0,44593.0,27.870625,0.0
ELC,CXRU1582880,1450.0,48760.0,22608.29,26151.71,18.035662068965518,0.0
ELC,MSDU9850290,1712.0,59991.0,15337.28,44653.72,26.082780373831778,0.0
ELC,OTPU6082080,1794.0,63221.29,17029.86,46191.43,25.74773132664437,0.0
ELC,OTPU6085602,1600.0,54400.0,9937.0,44463.0,27.789375,0.0
ELC,OTPU6320770,2076.0,79710.11,15482.68,64227.43,30.938068400770714,0.0
ELC,OTPU6321591,2160.0,67932.0,11803.06,56128.94,25.98562037037037,0.0
ELC,OTPU6323260,2076.0,77418.0,14768.36,62649.64,30.17805394990366,0.0
ELC,OTPU6374122,1600.0,54400.0,9957.0,44443.0,27.776875,0.0
ELC,OTPU6374375,1600.0,54400.0,9957.0,44443.0,27.776875,0.0
ELC,OTPU6374842,1588.0,53992.0,10983.17,43008.83,27.083646095717885,0.0
ELC,OTPU6374930,1588.0,53992.0,9924.36,44067.64,27.750403022670024,0.0
ELC,OTPU6375005,1600.0,54400.0,9957.0,44443.0,27.776875,0.0
ELC,OTPU6375330,2072.0,72781.85,14046.48,58735.37000000001,28.347186293436298,0.0
ELC,SEGU9181341,1656.0,58560.0,7866.55,50693.45,30.611986714975842,0.0
ELC,SEGU9625852,1600.0,54400.0,8517.0,45883.0,28.676875,0.0
ELC,SEGU9696347,1462.0,48628.0,22559.11,26068.89,17.830978112175103,0.0
ELC,SEGU9721120,1553.0,52802.0,22544.870000000003,30257.129999999997,19.4830199613651,0.0
ELC,SEGU9740922,1600.0,54400.0,8767.0,45633.0,28.520625,0.0
ELC,SEGU9776503,1600.0,54400.0,16326.5,38073.5,23.7959375,0.0
ELC,SEKU9181500,1475.0,48530.0,24422.38,24107.62,16.34414915254237,0.0
ELC,SEKU9295544,1600.0,54400.0,8517.0,45883.0,28.676875,0.0
ELC,TTNU8498921,2160.0,77328.0,10716.74,66611.26,30.838546296296293,0.0
