Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
Rio King,23R028411176,8315.0,294315.14,39736.55,254578.59000000003,30.616787733012632,55.525093449531624
Rio King,23R029407069,2927.0,142426.75,33312.93,109113.82,37.278380594465325,37.3921470259221
Rio King,23R033412282,13470.0,428487.02999999997,63635.03,364852.0,27.08626577579807,44.302895420608905
Rio King,23R682409134,5100.0,152242.49,23178.3,129064.18999999999,25.306703921568626,47.418265283344674
Rio King,23R738405107,1600.0,70772.0,19366.26,51405.740000000005,32.1285875,37.349914620429544
Rio King,23R745408217,1700.0,59254.619999999995,9756.28,49498.34,29.11667058823529,41.213503321525536
Rio King,23R745408218,1599.0,72352.13,11196.2,61155.93000000001,38.24636022514072,31.355912664560897
Rio King,23RK07410148,4574.0,190221.16,39339.04,150882.12,32.986908613904674,50.58717361606531
Rio King,23RK38411147,2977.0,127633.2,25485.02,102148.18,34.312455492106146,38.7554628971363
Rio King,23RK71413153,11788.0,408045.42,71108.97,336936.44999999995,28.583003902273493,61.80690750436767
Rio King,23RK71413154,80.0,2560.0,1964.4,595.5999999999999,7.4449999999999985,161.18200134318337
Rio King,23RK83841112,1550.0,43060.0,9368.08,33691.92,21.73672258064516,55.20611470049792
Rio King,23RKU9181500,1900.0,59262.05,10251.2,49010.850000000006,25.79518421052632,46.52031131882021
Rio King,APRU6137018,1900.0,71769.62,11219.58,60550.03999999999,31.868442105263153,37.654805843233135
Rio King,BMOU9248181,1700.0,48159.46,12757.39,35402.07,20.82474705882353,57.62374911975486
Rio King,BMOU9294736,1900.0,61866.119999999995,8387.56,53478.56,28.14661052631579,42.63390786887306
Rio King,BMOU9336641,1900.0,66876.1,8998.15,57877.950000000004,30.462078947368422,39.39324043094131
Rio King,BMOU9612360,2004.0,79308.3,12033.07,67275.23000000001,33.57047405189621,35.74569719048154
Rio King,BMOU9657214,1620.0,56388.0,10679.35,45708.65,28.215216049382718,42.53024318154222
Rio King,CRSU6136449,1900.0,60017.39,10620.68,49396.71,25.998268421052632,46.156920167355274
Rio King,CXRU1073820,1900.0,64956.75,8392.84,56563.91,29.770478947368424,40.308387450584654
Rio King,CXRU1431991,1900.0,72044.0,11852.78,60191.22,31.67958947368421,37.87927873865989
Rio King,CXRU1452314,1900.0,69411.48,11175.11,58236.369999999995,30.650721052631578,39.15079185052228
Rio King,CXRU1581292,1900.0,60163.6,10691.4,49472.2,26.037999999999997,46.08648897764805
Rio King,FSCU5771313,1900.0,52820.0,10029.98,42790.020000000004,22.52106315789474,53.28345254337342
Rio King,GESU9430840,1750.0,58569.100000000006,12317.349999999999,46251.75000000001,26.429571428571432,45.403687428043256
Rio King,GESU9543030,1900.0,61869.3,10648.21,51221.090000000004,26.958468421052633,44.51291450455271
Rio King,MEDU9713371,1700.0,56100.0,13158.93,42941.07,25.25945294117647,47.5069671063157
Rio King,MEDU9729315,2160.0,86329.44,12550.18,73779.26000000001,34.15706481481482,35.1318243094333
Rio King,MEDU9817904,1900.0,64026.7,10856.53,53170.17,27.984299999999998,42.88118695125481
Rio King,MSDU9018253,1900.0,58563.979999999996,10729.49,47834.49,25.176047368421052,47.66435264596738
Rio King,MSDU9029772,1169.0,55966.5,15223.98,40742.520000000004,34.85245508982036,50.070540555665175
Rio King,MSDU9823247,1900.0,67319.24,12375.47,54943.770000000004,28.917773684210527,41.4969704481509
Rio King,OTPU6374396,1900.0,73340.0,10012.82,63327.18,33.330094736842106,36.00349802407118
Rio King,OTPU6375284,1900.0,71725.0,9542.0,62183.0,32.7278947368421,36.66596979881962
Rio King,OTPU6378004,1900.0,69476.1,17668.4,51807.700000000004,27.267210526315793,44.00890215161066
Rio King,OTPU6514380,1865.0,69626.61,11356.89,58269.72,31.243817694369973,38.40759832036262
Rio King,SEGU9088732,1700.0,59436.06,11951.16,47484.899999999994,27.932294117647057,42.96102550495
Rio King,SEGU9122272,1900.0,57147.64,10525.54,46622.1,24.53794736842105,48.903846030101604
