Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
Unknown Exporter,24E4405,222.0,5081.950000000001,3515.09,1566.8600000000006,7.05792792792793,0.0
Unknown Exporter,24EE04798,225.0,4185.0,10190.25,-6005.25,-26.69,-0.0
Unknown Exporter,24TRA101667,1500.0,33000.0,6492.62,26507.38,17.671586666666666,0.0
Unknown Exporter,24TRA101800,0.0,0.0,135.0,-135.0,,-0.0
Unknown Exporter,24TRA101838,1050.0,24150.0,4252.5,19897.5,18.95,0.0
Unknown Exporter,24VIS00022,0.0,0.0,1216.6,-1216.6,,-0.0
Unknown Exporter,BMOU9296788,0.0,0.0,5118.08,-5118.08,,-0.0
Unknown Exporter,E-04633,0.0,0.0,1684.0,-1684.0,,-0.0
Unknown Exporter,E04563,300.0,8085.0,4842.76,3242.24,10.807466666666667,0.0
Unknown Exporter,E04600,0.0,0.0,300.0,-300.0,,-0.0
Unknown Exporter,E04633,0.0,0.0,716.0,-716.0,,-0.0
Unknown Exporter,E04642,0.0,0.0,242.0,-242.0,,-0.0
Unknown Exporter,E04648,0.0,0.0,242.0,-242.0,,-0.0
Unknown Exporter,E04865,0.0,0.0,329.0,-329.0,,-0.0
Unknown Exporter,E04930,0.0,0.0,1702.0,-1702.0,,-0.0
Unknown Exporter,E11481,0.0,0.0,1400.0,-1400.0,,-0.0
Unknown Exporter,E14057,2223.0,50188.6,31796.47,18392.129999999997,8.273562753036437,0.0
Unknown Exporter,E14132,0.0,0.0,40.0,-40.0,,-0.0
Unknown Exporter,E14141,0.0,0.0,1200.0,-1200.0,,-0.0
Unknown Exporter,E14147,0.0,0.0,1100.0,-1100.0,,-0.0
Unknown Exporter,HLBU9006489,1600.0,46240.0,15701.81,30538.190000000002,19.086368750000002,15.718023890741396
Unknown Exporter,MMAU1267681,1600.0,48000.0,13571.2,34428.8,21.518,13.94181615391765
Unknown Exporter,MNBU0561495,1600.0,54400.0,14083.2,40316.8,25.198,11.90570680212715
Unknown Exporter,OPTU6082455,0.0,0.0,50.04,-50.04,,-0.0
Unknown Exporter,TRA101553,0.0,0.0,168.0,-168.0,,-0.0
Unknown Exporter,TRA101575,0.0,0.0,242.0,-242.0,,-0.0
Unknown Exporter,TRA101662,0.0,0.0,470.75,-470.75,,-0.0
Unknown Exporter,TRA101700,0.0,0.0,543.1700000000001,-543.1700000000001,,-0.0
Unknown Exporter,TRA101704,0.0,0.0,994.25,-994.25,,-0.0
Unknown Exporter,TRA101705,0.0,0.0,650.5,-650.5,,-0.0
Unknown Exporter,TRA101707,0.0,0.0,242.0,-242.0,,-0.0
Unknown Exporter,TRA101718,0.0,0.0,727.75,-727.75,,-0.0
Unknown Exporter,TRA104875,0.0,0.0,977.0,-977.0,,-0.0
