Exporter Clean,Total Sale Quantity,Total Sales Amount,Avg Sale Price Calc
AGL,431976.0,14659780.87,33.46831733664032
BORQUEZ,467337.0,7955864.95,17.700741385052776
ECO,112795.0,3613340.78,33.92193265865486
ELC,60226.0,2094419.54,35.12981342904206
MDT,13000.0,395180.0,30.95
Quintay,131626.0,4696897.78,35.93168014352264
Rio King,140917.0,5011825.27,35.628707282744415
SAFCO PERU,7600.0,253642.19,34.33036491228071
Unknown Exporter,10320.0,273330.55,23.925
VIDEXPORT,1918249.0,37559457.3,19.741422037908208
