Lotid,Exporter Clean,Initial Stock,Entry Date,Variety
24A0005623,Agrolatina,240,03/13/2025,AUTUMN CRISP
24A0005623,Agrolatina,1360,03/13/2025,AUTUMN CRISP
24A0026441,Agrolatina,1120,03/03/2025,TIMCO
24A0026441,Agrolatina,480,03/03/2025,TIMCO
24A0057740,Agrolatina,1280,02/24/2025,TIMCO
24A0057740,Agrolatina,320,02/24/2025,TIMCO
24A0066022,Agrolatina,1360,03/03/2025,TIMCO
24A0066022,Agrolatina,240,03/03/2025,TIMCO
24A0066887,Agrolatina,960,02/13/2025,SWEET GLOBE
24A0066887,Agrolatina,640,02/13/2025,SWEET GLOBE
24A0068302,Agrolatina,960,02/13/2025,SWEET GLOBE
24A0068302,Agrolatina,640,02/13/2025,SWEET GLOBE
24A0073464,Agrolatina,1280,01/16/2025,CANDY SNAP
24A0073464,Agrolatina,320,01/16/2025,CANDY SNAP
24A0081304,Agrolatina,1360,01/30/2025,SWEET GLOBE
24A0081304,Agrolatina,240,01/30/2025,SWEET GLOBE
24A0094976,Agrolatina,1200,01/01/2025,ALLISON
24A0094976,Agrolatina,400,01/01/2025,ALLISON
24A0102156,Agrolatina,640,03/03/2025,SWEET GLOBE
24A0102156,Agrolatina,960,03/03/2025,SWEET GLOBE
24A0115718,Agrolatina,880,02/03/2025,SWEET GLOBE
24A0115718,Agrolatina,720,02/03/2025,SWEET GLOBE
24A0128799,Agrolatina,320,12/26/2024,IVORY
24A0128799,Agrolatina,160,12/26/2024,IVORY
24A0128799,Agrolatina,80,12/26/2024,IVORY
24A0128799,Agrolatina,640,12/26/2024,SWEET GLOBE
24A0128799,Agrolatina,80,12/26/2024,SWEET GLOBE
24A0128799,Agrolatina,320,12/26/2024,SWEET GLOBE
24A0137996,Agrolatina,1520,01/28/2025,CANDY SNAP
24A0137996,Agrolatina,80,01/28/2025,CANDY SNAP
24A0141553,Agrolatina,960,12/23/2024,ALLISON
24A0141553,Agrolatina,640,12/23/2024,ALLISON
24A0141661,Agrolatina,960,02/24/2025,TIMCO
24A0141661,Agrolatina,640,02/24/2025,TIMCO
24A0148671,Agrolatina,1360,01/01/2025,CANDY SNAP
24A0148671,Agrolatina,240,01/01/2025,CANDY SNAP
24A0154930,Agrolatina,960,12/30/2024,ALLISON
24A0154930,Agrolatina,640,12/30/2024,ALLISON
24A0173313,Agrolatina,1440,03/03/2025,TIMCO
24A0173313,Agrolatina,160,03/03/2025,TIMCO
24A0207389,Agrolatina,1360,02/07/2025,SWEET GLOBE
24A0207389,Agrolatina,240,02/07/2025,SWEET GLOBE
24A0214937,Agrolatina,1520,02/03/2025,SWEET GLOBE
24A0214937,Agrolatina,80,02/03/2025,SWEET GLOBE
24A0217108,Agrolatina,1360,02/13/2025,SWEET GLOBE
24A0217108,Agrolatina,240,02/13/2025,SWEET GLOBE
24A0218526,Agrolatina,1520,02/20/2025,COTTON CANDY
24A0218526,Agrolatina,80,02/20/2025,COTTON CANDY
24A0224278,Agrolatina,480,02/24/2025,TIMCO
24A0224278,Agrolatina,1120,02/24/2025,TIMCO
24A0245408,Agrolatina,320,02/03/2025,CANDY DREAMS
24A0245408,Agrolatina,1280,02/03/2025,CANDY DREAMS
24A0284770,Agrolatina,1360,03/03/2025,TIMCO
24A0284770,Agrolatina,80,03/03/2025,TIMCO
24A0284770,Agrolatina,160,03/03/2025,TIMCO
24A0301570,Agrolatina,560,01/16/2025,IVORY
24A0301570,Agrolatina,80,01/16/2025,IVORY
24A0301570,Agrolatina,800,01/16/2025,SWEET GLOBE
24A0301570,Agrolatina,160,01/16/2025,SWEET GLOBE
24A0302220,Agrolatina,1440,02/27/2025,IVORY
24A0302220,Agrolatina,160,02/27/2025,IVORY
24A0317200,Agrolatina,400,02/03/2025,CANDY DREAMS
24A0317200,Agrolatina,1200,02/03/2025,CANDY DREAMS
24A0319537,Agrolatina,1600,03/10/2025,AUTUMN CRISP
24A0343560,Agrolatina,1120,12/26/2024,SWEET GLOBE
24A0343560,Agrolatina,80,12/26/2024,SWEET GLOBE
24A0343560,Agrolatina,400,12/26/2024,SWEET GLOBE
24A0350384,Agrolatina,1120,03/10/2025,TIMCO
24A0350384,Agrolatina,480,03/10/2025,TIMCO
24A0354570,Agrolatina,1440,01/28/2025,IVORY
24A0354570,Agrolatina,160,01/28/2025,IVORY
24A0358472,Agrolatina,640,03/03/2025,SWEET GLOBE
24A0358472,Agrolatina,960,03/03/2025,SWEET GLOBE
24A0377301,Agrolatina,880,02/13/2025,SWEET GLOBE
24A0377301,Agrolatina,720,02/13/2025,SWEET GLOBE
24A0377451,Agrolatina,1120,12/30/2024,SWEET GLOBE
24A0377451,Agrolatina,480,12/30/2024,SWEET GLOBE
24A0378334,Agrolatina,1520,03/03/2025,TIMCO
24A0378334,Agrolatina,80,03/03/2025,TIMCO
24A0379325,Agrolatina,1360,02/03/2025,SWEET GLOBE
24A0379325,Agrolatina,240,02/03/2025,SWEET GLOBE
24A0381446,Agrolatina,1600,12/30/2024,CANDY SNAP
24A0384785,Agrolatina,80,02/03/2025,IVORY
24A0384785,Agrolatina,1120,02/03/2025,SWEET GLOBE
24A0384785,Agrolatina,400,02/03/2025,SWEET GLOBE
24A0388780,Agrolatina,240,02/11/2025,AUTUMN CRISP
24A0388780,Agrolatina,1360,02/11/2025,AUTUMN CRISP
24A0398304,Agrolatina,1600,02/03/2025,SWEET GLOBE
24A0409179,Agrolatina,1440,01/11/2025,SWEET GLOBE
24A0409179,Agrolatina,160,01/11/2025,SWEET GLOBE
24A0424759,Agrolatina,720,02/24/2025,TIMCO
24A0424759,Agrolatina,880,02/24/2025,TIMCO
24A0438942,Agrolatina,1440,12/30/2024,SWEET GLOBE
24A0438942,Agrolatina,80,12/30/2024,SWEET GLOBE
24A0438942,Agrolatina,80,12/30/2024,SWEET GLOBE
24A0459101,Agrolatina,1530,03/03/2025,TIMCO
24A0459101,Agrolatina,170,03/03/2025,TIMCO
24A0466327,Agrolatina,1280,02/27/2025,IVORY
24A0466327,Agrolatina,320,02/27/2025,IVORY
24A0470672,Agrolatina,1520,02/27/2025,COTTON CANDY
24A0470672,Agrolatina,80,02/27/2025,COTTON CANDY
24A0489235,Agrolatina,1200,02/03/2025,SWEET GLOBE
24A0489235,Agrolatina,400,02/03/2025,SWEET GLOBE
24A0505892,Agrolatina,1040,02/13/2025,SWEET GLOBE
24A0505892,Agrolatina,560,02/13/2025,SWEET GLOBE
24A0512192,Agrolatina,800,03/03/2025,IVORY
24A0512192,Agrolatina,800,03/03/2025,IVORY
24A0512905,Agrolatina,720,02/13/2025,SWEET GLOBE
24A0512905,Agrolatina,880,02/13/2025,SWEET GLOBE
24A0516177,Agrolatina,1200,02/13/2025,SWEET GLOBE
24A0516177,Agrolatina,400,02/13/2025,SWEET GLOBE
24A0518420,Agrolatina,1040,01/16/2025,ALLISON
24A0518420,Agrolatina,560,01/16/2025,ALLISON
24A0525836,Agrolatina,1040,12/23/2024,SWEET GLOBE
24A0525836,Agrolatina,560,12/23/2024,SWEET GLOBE
24A0528347,Agrolatina,1200,02/13/2025,SWEET GLOBE
24A0528347,Agrolatina,400,02/13/2025,SWEET GLOBE
24A0531783,Agrolatina,480,01/16/2025,IVORY
24A0531783,Agrolatina,160,01/16/2025,IVORY
24A0531783,Agrolatina,880,01/16/2025,SWEET GLOBE
24A0531783,Agrolatina,80,01/16/2025,SWEET GLOBE
24A0534674,Agrolatina,800,02/20/2025,SWEET GLOBE
24A0534674,Agrolatina,800,02/20/2025,SWEET GLOBE
24A0557793,Agrolatina,1520,12/23/2024,CANDY SNAP
24A0557793,Agrolatina,80,12/23/2024,CANDY SNAP
24A0559081,Agrolatina,1520,12/30/2024,CANDY SNAP
24A0559081,Agrolatina,80,12/30/2024,CANDY SNAP
24A0567174,Agrolatina,1280,01/16/2025,ALLISON
24A0567174,Agrolatina,320,01/16/2025,ALLISON
24A0567549,Agrolatina,1520,12/07/2024,CANDY SNAP
