Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
MDT,24M1448891,1631.0,49939.020000000004,19363.960000000003,30575.06,18.746204782342122,0.0
MDT,24M1590530,1920.0,44334.78,19441.49,24893.289999999997,12.965255208333332,0.0
MDT,24M1613300,1600.0,0.0,14127.289999999999,-14127.289999999999,-8.82955625,-0.0
MDT,24M1619510,1690.0,49176.41,21417.59,27758.820000000003,16.42533727810651,0.0
MDT,24M2506153,2112.0,30720.0,16633.25,14086.75,6.6698626893939394,0.0
MDT,24M284346,0.0,0.0,16508.32,-16508.32,,-0.0
MDT,24M6081612,1727.0,3925.48,14262.370000000003,-10336.890000000003,-5.985460335842503,-0.0
MDT,24M6322659,1920.0,3781.7199999999993,14883.24,-11101.52,-5.782041666666667,-0.0
MDT,24M6374884,1335.0,37380.0,15320.35,22059.65,16.524082397003745,0.0
MDT,24M6375411,1600.0,2560.0,16064.54,-13504.54,-8.4403375,-0.0
MDT,24M6698121,1733.0,45012.08,18528.52,26483.56,15.281915753029429,0.0
MDT,24M6698986,1919.0,32741.52,15135.490000000002,17606.03,9.174585721730066,0.0
MDT,24M6955280,1876.0,36720.0,16994.43,19725.57,10.514696162046908,0.0
MDT,24M7393565,1600.0,47751.68,17860.78,29890.9,18.6818125,0.0
MDT,24M7504047,2304.0,49562.8,21917.34,27645.460000000003,11.998897569444445,0.0
MDT,24M8048734,1600.0,0.0,14508.7,-14508.7,-9.067937500000001,-0.0
MDT,24M8215456,0.0,0.0,8587.0,-8587.0,,-0.0
MDT,24M8581603,1600.0,46595.84,16185.3,30410.539999999997,19.0065875,0.0
MDT,24M9177032,0.0,0.0,15414.24,-15414.24,,-0.0
MDT,24M9177109,1920.0,41280.0,15771.48,25508.52,13.2856875,0.0
MDT,24M9177264,1600.0,47472.0,20307.600000000002,27164.399999999998,16.97775,0.0
MDT,24M9181259,1571.0,43638.0,16665.79,26972.21,17.16881604073838,0.0
MDT,24M9181449,1600.0,47360.0,17002.55,30357.45,18.97340625,0.0
MDT,24M9183939,1600.0,40000.0,15709.0,24291.0,15.181875,0.0
MDT,24M9295291,1920.0,50112.0,18433.29,31678.71,16.499328124999998,0.0
MDT,24M9295919,1920.0,41184.0,17473.82,23710.18,12.349052083333333,0.0
MDT,24M9296197,1920.0,40608.0,15867.74,24740.260000000002,12.885552083333334,0.0
MDT,24M9299822,1436.0,44952.83,22018.83,22934.0,15.970752089136491,0.0
MDT,24M9305635,1540.0,48597.63,25070.41,23527.219999999998,15.277415584415582,0.0
MDT,24M9307075,1633.0,48028.0,19008.81,29019.19,17.770477648499693,0.0
MDT,24M9307809,1600.0,41923.52,19216.9,22706.619999999995,14.191637499999997,0.0
MDT,24M9308699,1399.0,40316.0,15720.23,24595.77,17.58096497498213,0.0
MDT,24M9336596,1600.0,42361.6,19254.84,23106.76,14.441724999999998,0.0
MDT,24M9338135,1600.0,42281.600000000006,19248.44,23033.160000000007,14.395725000000004,0.0
MDT,24M9338480,869.0,24000.0,32998.01,-8998.010000000002,-10.3544418872267,-0.0
MDT,24M9345350,2160.0,52380.0,18636.38,33743.619999999995,15.622046296296293,0.0
MDT,24M9349910,1600.0,42767.36,17630.86,25136.5,15.7103125,0.0
MDT,24M9350383,1600.0,41856.0,23234.66,18621.34,11.6383375,0.0
MDT,24M9352940,1787.0,55654.94,21544.16,34110.78,19.08829322887521,0.0
MDT,24M9507249,1824.0,34416.0,17476.760000000002,16939.239999999998,9.286864035087719,0.0
MDT,24M9511131,1824.0,44759.44,17118.28,27641.160000000003,15.154144736842108,0.0
MDT,24M9623989,1431.0,45116.96,24347.94,20769.02,14.513640810621943,0.0
MDT,24M9627475,1266.0,39895.11,23432.78,16462.33,13.003420221169037,0.0
MDT,24M9628569,1920.0,42912.0,19327.670000000002,23584.329999999998,12.283505208333333,0.0
MDT,24M9630416,1600.0,0.0,12327.949999999999,-12327.949999999999,-7.704968749999999,-0.0
MDT,24M9654909,1728.0,42240.0,29698.280000000002,12541.719999999998,7.257939814814813,0.0
MDT,24M9655757,1383.0,42799.479999999996,22179.64,20619.839999999997,14.909501084598697,0.0
MDT,24M9667499,1920.0,25563.510000000002,14708.900000000001,10854.61,5.653442708333333,0.0
MDT,24M9695084,1440.0,45409.19,25613.510000000002,19795.68,13.747,0.0
MDT,24M9695680,1600.0,46320.0,16949.35,29370.65,18.35665625,0.0
MDT,24M9696115,1632.0,51833.97,23569.84,28264.13,17.31870710784314,0.0
MDT,24M9696202,1851.0,57163.54,21687.399999999998,35476.14,19.165931928687197,0.0
MDT,24M9698653,1291.0,21600.0,26195.15,-4595.1500000000015,-3.559372579395818,-0.0
MDT,24M9699500,1438.0,42054.0,16368.09,25685.91,17.862246175243392,0.0
MDT,24M9723205,1347.0,42279.71,23541.99,18737.719999999998,13.91070527097253,0.0
MDT,24M9740100,1600.0,0.0,13008.75,-13008.75,-8.13046875,-0.0
MDT,24M9741003,1600.0,44800.0,16955.25,27844.75,17.40296875,0.0
MDT,24M9832431,1619.0,52690.17,21859.02,30831.149999999998,19.043329215565162,0.0
MDT,24M9861879,1600.0,42320.0,15869.37,26450.629999999997,16.531643749999997,0.0
MDT,24M9861890,1600.0,42241.6,19242.33,22999.269999999997,14.374543749999997,0.0
MDT,24M9869381,1600.0,40035.0,15752.37,24282.629999999997,15.176643749999998,0.0
