Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
Quintay,24Q1022587,1252.0,38680.0,23788.88,14891.119999999999,11.893865814696484,0.0
Quintay,24Q1028040,1200.0,42092.56,18365.4,23727.159999999996,19.77263333333333,0.0
Quintay,24Q1425427,1667.0,41567.55,19067.55,22500.000000000004,13.497300539892024,0.0
Quintay,24Q1483491,1363.0,43822.46,23970.38,19852.079999999998,14.564988994864269,0.0
Quintay,24Q1580090,1160.0,35080.0,28876.37,6203.630000000001,5.347956896551725,0.0
Quintay,24Q1581353,935.0,27384.0,33452.61,-6068.610000000001,-6.490491978609627,-0.0
Quintay,24Q1590484,1278.0,38340.0,28718.48,9621.52,7.5285758998435055,0.0
Quintay,24Q1612217,2160.0,51829.2,19859.5,31969.699999999997,14.800787037037036,0.0
Quintay,24Q1613002,1409.0,37229.06,24303.28,12925.779999999999,9.17372604684173,0.0
Quintay,24Q3514146,160.0,5760.0,45892.89,-40132.89,-250.83056249999998,-0.0
Quintay,24Q5343659,2070.0,48211.1,18820.47,29390.629999999997,14.198371980676328,0.0
Quintay,24Q5515115,1501.0,52662.64,30661.96,22000.68,14.657348434377083,0.0
Quintay,24Q5582457,1800.0,38700.0,18433.14,20266.86,11.259366666666667,0.0
Quintay,24Q6081741,1421.0,38535.0,23140.98,15394.02,10.833230119634061,0.0
Quintay,24Q6081762,1287.0,34965.0,23301.27,11663.73,9.062727272727273,0.0
Quintay,24Q6085182,1239.0,37751.0,29155.38,8595.619999999999,6.937546408393866,0.0
Quintay,24Q6085330,0.0,0.0,14112.58,-14112.58,,-0.0
Quintay,24Q6114017,976.0,31373.0,22136.11,9236.89,9.464026639344262,0.0
Quintay,24Q6320297,1360.0,43641.89,26343.690000000002,17298.199999999997,12.71926470588235,0.0
Quintay,24Q6320722,830.0,24360.0,16540.36,7819.639999999999,9.421253012048192,0.0
Quintay,24Q6320785,2108.0,49038.0,20057.09,28980.91,13.748059772296015,0.0
Quintay,24Q6366528,1446.0,49068.270000000004,25616.3,23451.970000000005,16.218513139695716,0.0
Quintay,24Q6371885,1414.0,39650.66,21533.88,18116.780000000002,12.812432814710045,0.0
Quintay,24Q6374082,2016.0,44136.0,18887.510000000002,25248.489999999998,12.524052579365078,0.0
Quintay,24Q6374713,1804.0,44128.0,32576.4,11551.599999999999,6.403325942350332,0.0
Quintay,24Q6597961,2160.0,53136.0,19040.48,34095.520000000004,15.784962962962965,0.0
Quintay,24Q6605178,1600.0,48000.0,19828.1,28171.9,17.6074375,0.0
Quintay,24Q6947313,1191.0,38636.0,30301.79,8334.21,6.997657430730478,0.0
Quintay,24Q6997572,1120.0,40640.0,29059.89,11580.11,10.33938392857143,0.0
Quintay,24Q8006245,1600.0,48000.0,19876.45,28123.55,17.57721875,0.0
Quintay,24Q8079792,0.0,0.0,12057.5,-12057.5,,-0.0
Quintay,24Q8972753,400.0,14720.0,20447.5,-5727.5,-14.31875,-0.0
Quintay,24Q9026900,0.0,0.0,13357.5,-13357.5,,-0.0
Quintay,24Q9027966,0.0,0.0,12057.5,-12057.5,,-0.0
Quintay,24Q9030876,0.0,0.0,12057.5,-12057.5,,-0.0
Quintay,24Q9031358,1206.0,37342.0,22950.1,14391.900000000001,11.93358208955224,0.0
Quintay,24Q9083950,0.0,0.0,11847.91,-11847.91,,-0.0
Quintay,24Q9118800,1280.0,38652.0,29218.66,9433.34,7.3697968750000005,0.0
Quintay,24Q9129277,1473.0,20000.0,20967.2,-967.2000000000007,-0.6566191446028519,-0.0
Quintay,24Q9179179,0.0,0.0,12057.5,-12057.5,,-0.0
Quintay,24Q9180632,1899.0,39393.0,27703.88,11689.119999999999,6.155408109531332,0.0
Quintay,24Q9187770,1402.0,37542.58,20503.0,17039.58,12.153766048502142,0.0
Quintay,24Q9228335,0.0,0.0,14040.08,-14040.08,,-0.0
Quintay,24Q9306082,1709.0,59394.0,32698.83,26695.17,15.620345231129315,0.0
Quintay,24Q9307877,1600.0,0.0,14224.9,-14224.9,-8.8905625,-0.0
Quintay,24Q9330237,880.0,18880.0,34922.44,-16042.440000000002,-18.230045454545458,-0.0
Quintay,24Q9333030,1295.0,42220.0,27546.29,14673.71,11.331050193050192,0.0
Quintay,24Q9338840,1440.0,39200.0,28887.699999999997,10312.300000000003,7.161319444444446,0.0
Quintay,24Q9463436,1209.0,36000.0,29702.8,6297.200000000001,5.208602150537635,0.0
