Exporter,Lotid,Inventory Balance,Date,Days In Inventory,Variety,Packaging Style
AGL,BEAU9705215,1600.0,12/30/2023,0,ALLISON,Clam
AGL,BEAU9705637,1600.0,12/27/2023,0,ALLISON,Clam
AGL,BEAU9708195,0.0,01/24/2024,9,ALLISON,Clam
AGL,BEAU9710607,0.0,02/16/2024,12,SWEET GLOBE,Bag
AGL,BEAU9719420,0.0,01/31/2024,7,SWEET GLOBE,Bag
AGL,BMOU9274067,0.0,02/05/2024,13,TIMCO,Clam
AGL,BMOU9309899,0.0,02/14/2024,10,SWEET GLOBE,Clam
AGL,BMOU9310230,1700.0,12/31/2023,0,BI-COLOR,Clam
AGL,BMOU9883335,1600.0,12/30/2023,0,IVORY,Clam
AGL,BMOU9889550,1600.0,12/30/2023,0,IVORY,Clam
AGL,BMOU9889740,1600.0,12/30/2023,0,ALLISON,Clam
AGL,BMOU9890648,0.0,02/17/2024,13,SWEET GLOBE,Clam
AGL,BMOU9891270,1600.0,12/30/2023,0,IVORY,Clam
AGL,BMOU9891921,0.0,12/30/2023,9,ALLISON,Clam
AGL,BMOU9892147,0.0,12/30/2023,2,BI-COLOR,Clam
AGL,BMOU9892770,87.0,02/23/2024,19,SWEET GLOBE,Clam
AGL,BMOU9892980,0.0,12/30/2023,4,ALLISON,Clam
AGL,BMOU9893061,0.0,02/06/2024,9,TIMCO,Clam
AGL,BMOU9893816,0.0,02/17/2024,13,SWEET GLOBE,Clam
AGL,CAIU5542270,0.0,02/03/2024,11,ALLISON,Clam
AGL,CAIU5553870,0.0,01/23/2024,3,SWEET GLOBE,Clam
AGL,CRLU1324216,0.0,02/09/2024,18,SWEET GLOBE,Clam
AGL,CRSU6064441,1600.0,12/30/2023,0,CANDY DREAMS,Clam
AGL,CRSU6126939,1600.0,12/30/2023,0,CANDY DREAMS,Clam
AGL,CRXU6955248,0.0,02/17/2024,28,SWEET FAVORS,Clam
AGL,CTWU1600440,0.0,12/30/2023,2,BI-COLOR,Clam
AGL,CTWU1600646,1600.0,12/27/2023,0,ALLISON,Clam
AGL,CTWU1601025,1600.0,12/30/2023,0,ALLISON,Clam
AGL,CTWU1601278,1600.0,12/15/2023,0,IVORY,Clam
AGL,CTWU1601365,1600.0,12/27/2023,0,SWEET GLOBE,Clam
AGL,CTWU1602607,0.0,01/26/2024,11,SWEET FAVORS,Bag
AGL,CTWU1603162,0.0,02/09/2024,12,TIMCO,Clam
AGL,CXRU1434990,0.0,02/12/2024,20,CANDY DREAMS,Clam
AGL,CXRU1457260,1280.0,12/30/2023,0,IVORY,Clam
AGL,CXRU1636939,0.0,01/23/2024,4,SWEET GLOBE,Clam
AGL,EMCU5307609,0.0,01/29/2024,28,SWEET GLOBE,Clam
AGL,EMCU5326234,0.0,01/29/2024,28,SWEET GLOBE,Clam
AGL,EMCU5344285,0.0,01/23/2024,20,SWEET GLOBE,Clam
AGL,EMCU5350842,1600.0,12/30/2023,0,SWEET GLOBE,Clam
AGL,EMCU5374314,0.0,12/30/2023,16,SWEET GLOBE,Clam
AGL,EMCU5385577,0.0,12/30/2023,16,SWEET GLOBE,Clam
AGL,EMCU5387100,0.0,12/30/2023,16,SWEET GLOBE,Clam
AGL,EMCU5479022,0.0,12/30/2023,9,SWEET GLOBE,Clam
AGL,EMCU5567170,0.0,12/30/2023,9,SWEET GLOBE,Clam
AGL,EMCU5580043,0.0,12/30/2023,9,SWEET GLOBE,Clam
AGL,EMCU5585770,0.0,12/30/2023,9,SWEET GLOBE,Clam
AGL,EMCU5593502,0.0,01/30/2024,29,SWEET FAVORS,Clam
AGL,EMCU5594617,0.0,12/30/2023,9,SWEET GLOBE,Clam
AGL,EMCU5610750,0.0,01/30/2024,29,SWEET FAVORS,Clam
AGL,EMCU5648586,0.0,01/23/2024,20,SWEET GLOBE,Clam
AGL,FSCU5778149,1600.0,12/30/2023,0,IVORY,Clam
AGL,FSCU5784368,0.0,02/05/2024,16,CANDY DREAMS,Clam
AGL,HLBU9076418,1600.0,12/30/2023,0,ALLISON,Clam
AGL,HLBU9113276,1600.0,12/15/2023,0,CANDY SNAP,Clam
AGL,HLBU9130479,0.0,01/27/2024,5,ALLISON,Clam
AGL,HLBU9182718,560.0,01/30/2024,8,SWEET GLOBE,Clam
AGL,HLBU9458350,1600.0,12/15/2023,0,CANDY SNAP,Clam
AGL,HLBU9534608,0.0,01/29/2024,7,SWEET GLOBE,Clam
AGL,HLBU9535688,1600.0,12/30/2023,0,CANDY SNAP,Clam
AGL,HLBU9557244,0.0,01/30/2024,8,SWEET GLOBE,Clam
AGL,HLBU9607031,0.0,01/31/2024,9,SWEET GLOBE,Clam
AGL,HLBU9730220,1600.0,12/30/2023,0,CANDY SNAP,Clam
AGL,HLBU9770096,1600.0,12/30/2023,0,ALLISON,Clam
AGL,HLBU9847372,1600.0,12/15/2023,0,CANDY SNAP,Clam
AGL,HLBU9866285,1600.0,12/17/2023,0,CANDY SNAP,Clam
AGL,HLBU9889784,0.0,01/20/2024,15,ALLISON,Clam
AGL,HLBU9902778,1600.0,12/15/2023,0,CANDY SNAP,Clam
AGL,HLBU9919533,0.0,01/29/2024,7,ALLISON,Clam
AGL,HLBU9956250,880.0,01/20/2024,15,ALLISON,Clam
AGL,HLBU9962571,1600.0,12/30/2023,0,CANDY DREAMS,Clam
AGL,HLBU9967568,0.0,01/22/2024,17,ALLISON,Clam
AGL,HLBU9971681,1600.0,12/15/2023,0,CANDY SNAP,Clam
AGL,HLBU9972219,1600.0,12/30/2023,0,ALLISON,Clam
AGL,HLBU9977490,0.0,02/02/2024,29,CANDY DREAMS,Clam
AGL,MEDU9009491,0.0,01/26/2024,6,SWEET GLOBE,Clam
AGL,MEDU9622749,1600.0,12/30/2023,0,CANDY DREAMS,Clam
AGL,MEDU9729280,0.0,01/25/2024,5,SWEET GLOBE,Clam
AGL,MEDU9786779,1600.0,01/20/2024,0,ALLISON,Clam
AGL,MEDU9805420,1600.0,12/30/2023,0,CANDY SNAP,Clam
AGL,MEDU9807188,0.0,02/03/2024,14,ALLISON,Clam
AGL,MMAU1269107,80.0,02/19/2024,20,CANDY DREAMS,Clam
AGL,MMAU1303650,1800.0,12/30/2023,0,ALLISON,Bag
AGL,MMAU1304002,1800.0,12/30/2023,0,ALLISON,Bag
AGL,MMAU1311001,1600.0,12/30/2023,0,ALLISON,Clam
AGL,MMAU1367680,1600.0,12/30/2023,0,ALLISON,Clam
AGL,MMAU1373580,1600.0,12/30/2023,0,ALLISON,Clam
AGL,MMAU1440884,0.0,02/05/2024,13,SWEET GLOBE,Clam
AGL,MNBU0004376,0.0,02/29/2024,23,SWEET GLOBE,Clam
AGL,MNBU0069989,0.0,02/03/2024,11,SWEET GLOBE,Clam
AGL,MNBU0100873,1600.0,12/30/2023,0,ALLISON,Clam
AGL,MNBU0142570,0.0,02/14/2024,17,CANDY DREAMS,Clam
AGL,MNBU0191512,1600.0,12/30/2023,0,CANDY DREAMS,Clam
AGL,MNBU0213231,0.0,01/24/2024,16,SWEET GLOBE,Clam
AGL,MNBU0219380,1200.0,01/31/2024,9,SWEET GLOBE,Clam
AGL,MNBU0249065,720.0,02/17/2024,25,SWEET FAVORS,Clam
AGL,MNBU0251714,2.0,02/19/2024,20,TIMCO,Clam
AGL,MNBU0274406,3.0,01/26/2024,18,SWEET GLOBE,Clam
AGL,MNBU0304183,1900.0,12/30/2023,0,TIMCO,Bag
AGL,MNBU0306993,0.0,02/13/2024,14,TIMCO,Clam
AGL,MNBU0307599,0.0,02/28/2024,22,SWEET GLOBE,Clam
AGL,MNBU0356551,1800.0,12/30/2023,0,TIMCO,Bag
AGL,MNBU0377359,0.0,02/06/2024,14,SWEET GLOBE,Clam
