Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
Unknown Exporter,24A14634399,60.0,1865.76,214.56,111.95,1539.25,25.654166666666665,0.0,0.0,6.779917635658915
Unknown Exporter,24A5471525,1600.0,53040.0,9847.0,2121.6,41071.4,25.669625,19200.0,46.74785860720599,4.911907021971153
Unknown Exporter,24A5472516,1520.0,43368.0,9344.380000000001,2602.08,31421.539999999994,20.67206578947368,19200.0,61.104579851910515,7.647863454858713
Unknown Exporter,24A5769620,1600.0,52240.0,9521.08,3134.4,39584.52,24.740325,19200.0,48.50380906475562,7.337264144318256
Unknown Exporter,24A5770560,1540.0,45294.32,15176.52,2717.64,27400.16,17.79231168831169,19200.0,70.07258351776048,9.023368240708153
Unknown Exporter,24A5782529,1600.0,43600.0,14866.08,2616.0,26117.92,16.3237,19200.0,73.51274527221157,9.104222465991414
Unknown Exporter,24A6118654,1600.0,53040.0,12298.43,3182.4,37559.17,23.47448125,19200.0,51.11934049660842,7.811186461395573
Unknown Exporter,24A6130775,1580.0,45485.46,15092.92,2729.13,27663.41,17.508487341772152,19200.0,69.40576017201062,8.979604863561914
Unknown Exporter,24A6559846,1600.0,55440.0,16391.579999999998,3326.3999999999996,35722.02,22.3262625,19200.0,53.74836025510316,8.518654531988744
Unknown Exporter,24A8064273,1600.0,53040.0,10153.4,2121.6,40765.0,25.478125,19200.0,47.099227278302465,4.946999762163474
Unknown Exporter,24A8128336,1582.0,45354.71,16340.01,2721.24,26293.46,16.62039190897598,19200.0,73.02196059400322,9.378832109241179
Unknown Exporter,24A8184556,1580.0,54489.44,16293.68,3269.37,34926.39,22.10531012658228,19200.0,54.97275842135417,8.559510270249891
Unknown Exporter,24A8229613,1601.0,55474.65,14697.71,3328.49,37448.450000000004,23.39066208619613,19200.0,51.270479819592,8.162677238654984
Unknown Exporter,24A8785802,1600.0,55059.54,15987.849999999999,3303.5699999999997,35768.12,22.355075000000003,19200.0,53.679086292486154,8.455150007588614
Unknown Exporter,24A9028204,1600.0,52670.08,14464.7,3160.2,35045.18000000001,21.903237500000003,19200.0,54.78642141372935,8.271609914624587
Unknown Exporter,24A9035905,1431.0,48204.25,24821.69,2892.26,20490.300000000003,14.318867924528304,19200.0,93.70287404283977,12.369304302009704
Unknown Exporter,24A9045351,1570.0,53851.520000000004,16421.11,3231.09,34199.32000000001,21.783006369426754,19200.0,56.14146714028231,8.632259171085757
Unknown Exporter,24A9074060,1600.0,52240.0,9521.08,3134.4,39584.52,24.740325,19200.0,48.50380906475562,7.337264144318256
Unknown Exporter,24A9115832,1600.0,51440.0,9835.0,2057.6,39547.4,24.717125,19200.0,48.549335733828265,4.945559427953371
Unknown Exporter,24A9117460,1600.0,51440.0,9213.6,2057.6,40168.8,25.105500000000003,19200.0,47.7982912110892,4.872781009037
Unknown Exporter,24A9120320,1600.0,51440.0,9245.0,2057.6,40137.4,25.085875,19200.0,47.835684424003546,4.876407157246119
Unknown Exporter,24A9162603,1420.0,48452.0,31541.04,2907.1400000000003,14003.82,9.861845070422534,19200.0,137.1054469423343,17.19086320350826
Unknown Exporter,24A9179728,1659.0,54638.35,16418.53,3278.3,34941.52,21.06179626280892,19200.0,54.94895471061363,8.577486759487616
Unknown Exporter,24A9182402,1600.0,46945.5,15395.199999999999,2816.7,28733.600000000002,17.9585,19200.0,66.82072556171173,8.927648865462452
Unknown Exporter,24A9185783,1600.0,55440.0,14851.689999999999,3326.4,37261.909999999996,23.288693749999997,19200.0,51.52714930608764,8.195463176466328
Unknown Exporter,24A9231999,1600.0,53040.0,16440.73,3182.4,33416.87,20.88554375,19200.0,57.45600949460557,8.69525539717049
Unknown Exporter,24A9241830,1560.0,53504.619999999995,16206.599999999999,3210.27,34087.75,21.851121794871794,19200.0,56.325219470337586,8.607078874428188
Unknown Exporter,24A9314793,1600.0,55440.0,13808.24,3326.4,38305.36,23.94085,19200.0,50.12353362558139,7.990053747427445
Unknown Exporter,24A9329664,1600.0,55440.0,14021.64,3326.4,38091.96,23.807475,19200.0,50.40433729322409,8.03122093680194
Unknown Exporter,24A9394206,1600.0,55440.0,14225.17,3326.4,37888.43,23.68026875,19200.0,50.67510055180434,8.070881282295716
Unknown Exporter,24A9436294,1420.0,44054.4,14701.16,2643.25,26709.99,18.809852112676058,19200.0,71.8832167290216,9.004968446413411
Unknown Exporter,24A9467829,1118.0,38738.7,19166.010000000002,2324.33,17248.359999999993,15.427871198568868,19200.0,111.31493081081337,11.875373287984434
Unknown Exporter,24A9542882,1600.0,47583.049999999996,14162.07,2854.93,30566.049999999996,19.103781249999997,19200.0,62.81478961134985,8.542328800651568
Unknown Exporter,24A9558209,1600.0,52240.0,8661.08,3134.4,40444.52,25.277824999999996,19200.0,47.47243878775172,7.192468285125011
Unknown Exporter,24A9563000,1374.0,47609.1,24281.98,2856.5499999999997,20470.57,14.898522561863173,19200.0,93.79318699967808,12.245617975986747
Unknown Exporter,24A9593553,1560.0,53911.75,16224.5,3234.7,34452.55,22.08496794871795,19200.0,55.728821233841906,8.58300884251305
Unknown Exporter,24A9707545,1600.0,52670.08,15788.93,3160.2000000000003,33720.950000000004,21.075593750000003,19200.0,56.937897657094474,8.568604829296266
Unknown Exporter,24A9728202,1600.0,53040.0,13056.51,3182.4,36801.09,23.00068125,19200.0,52.17236772063002,7.959285194964222
Unknown Exporter,24A9820170,1590.0,52739.4,9696.08,3164.4,39878.92,25.08108176100629,19200.0,48.14573714634198,7.351663393994702
Unknown Exporter,24A9884658,1600.0,51440.0,9420.0,2057.6,39962.4,24.9765,19200.0,48.04516245270554,4.89671584959543
Unknown Exporter,24A9891773,1600.0,51440.0,9070.0,2057.6,40312.4,25.19525,19200.0,47.62802512378325,4.856266226103375
Unknown Exporter,24A9946858,1602.0,53106.3,13229.06,3186.38,36690.86000000001,22.903158551810243,19406.0,52.89055639469883,7.990472760903211
