Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
VIDEXPORT,24E04428,0.0,0.0,0.0,-368.0,368.0,,0.0,0.0,0.0
VIDEXPORT,24E04442,0.0,0.0,0.0,-920.0,920.0,,0.0,0.0,0.0
VIDEXPORT,24E04465,0.0,0.0,0.0,-2576.0,2576.0,,0.0,0.0,0.0
VIDEXPORT,24E04501,0.0,0.0,0.0,-2145.0,2145.0,,0.0,0.0,0.0
VIDEXPORT,24E04502,0.0,0.0,0.0,-429.0,429.0,,0.0,0.0,0.0
VIDEXPORT,24E04882,0.0,0.0,0.0,-459.0,459.0,,0.0,0.0,0.0
VIDEXPORT,24E04893,0.0,0.0,0.0,-1386.0,1386.0,,0.0,0.0,0.0
VIDEXPORT,24E04908,0.0,0.0,0.0,-680.0,680.0,,0.0,0.0,0.0
VIDEXPORT,24E04926,0.0,0.0,0.0,-628.26,628.26,,0.0,0.0,0.0
VIDEXPORT,24E11570,0.0,0.0,0.0,-3128.4,3128.4,,0.0,0.0,0.0
VIDEXPORT,24E11579,0.0,0.0,0.0,-171.45,171.45,,0.0,0.0,0.0
VIDEXPORT,24E11596,0.0,0.0,0.0,-772.2,772.2,,0.0,0.0,0.0
VIDEXPORT,24E11606,0.0,0.0,0.0,-1215.5,1215.5,,0.0,0.0,0.0
VIDEXPORT,24E14072,0.0,0.0,0.0,-1004.85,1004.85,,0.0,0.0,0.0
VIDEXPORT,24E14093,0.0,0.0,0.0,-143.55,143.55,,0.0,0.0,0.0
VIDEXPORT,24E14107,0.0,0.0,0.0,-143.55,143.55,,0.0,0.0,0.0
VIDEXPORT,24E14163,0.0,0.0,0.0,-341.1,341.1,,0.0,0.0,0.0
VIDEXPORT,24E14169,0.0,0.0,0.0,-341.1,341.1,,0.0,0.0,0.0
VIDEXPORT,24E14218,0.0,0.0,0.0,-648.0,648.0,,0.0,0.0,0.0
VIDEXPORT,24E14220,0.0,0.0,0.0,-2711.6,2711.6,,0.0,0.0,0.0
VIDEXPORT,24E14221,0.0,0.0,0.0,-162.0,162.0,,0.0,0.0,0.0
VIDEXPORT,24E14222,0.0,0.0,0.0,-271.16,271.16,,0.0,0.0,0.0
VIDEXPORT,24E14227,0.0,0.0,0.0,-2576.02,2576.02,,0.0,0.0,0.0
VIDEXPORT,24E14230,0.0,0.0,0.0,-324.0,324.0,,0.0,0.0,0.0
VIDEXPORT,24E14233,0.0,0.0,0.0,-135.58,135.58,,0.0,0.0,0.0
VIDEXPORT,24E14235,0.0,0.0,0.0,-135.58,135.58,,0.0,0.0,0.0
VIDEXPORT,24E14237,0.0,0.0,0.0,-1084.64,1084.64,,0.0,0.0,0.0
VIDEXPORT,24E14238,0.0,0.0,0.0,-1084.64,1084.64,,0.0,0.0,0.0
VIDEXPORT,24E14245,0.0,0.0,0.0,-1134.0,1134.0,,0.0,0.0,0.0
VIDEXPORT,24E14247,0.0,0.0,0.0,-162.0,162.0,,0.0,0.0,0.0
VIDEXPORT,24E14259,0.0,0.0,0.0,-1161.14,1161.14,,0.0,0.0,0.0
VIDEXPORT,24E14278,0.0,0.0,0.0,-271.16,271.16,,0.0,0.0,0.0
VIDEXPORT,24E14300,0.0,0.0,0.0,-728.9,728.9,,0.0,0.0,0.0
VIDEXPORT,24E14302,0.0,0.0,0.0,-597.6,597.6,,0.0,0.0,0.0
VIDEXPORT,24E14320,0.0,0.0,0.0,-1721.3,1721.3,,0.0,0.0,0.0
VIDEXPORT,24E14326,0.0,0.0,0.0,-1792.8,1792.8,,0.0,0.0,0.0
VIDEXPORT,24E14328,0.0,0.0,0.0,-149.4,149.4,,0.0,0.0,0.0
VIDEXPORT,24E14330,0.0,0.0,0.0,-1231.65,1231.65,,0.0,0.0,0.0
VIDEXPORT,24E14342,0.0,0.0,0.0,-3156.3,3156.3,,0.0,0.0,0.0
VIDEXPORT,24E14348,0.0,0.0,0.0,-150.3,150.3,,0.0,0.0,0.0
VIDEXPORT,24E7207,0.0,0.0,0.0,-137.16,137.16,,0.0,0.0,0.0
