Exporter Clean,Retailer Name,Lotid,Total Cases Odd Sale,Total Amount Odd Sale
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A0218526,580.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A0470672,80.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A3025095,300.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A3395989,198.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A4267616,240.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A6194849,202.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8004043,160.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8717172,640.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8822473,400.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8825370,320.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8856616,640.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8938389,160.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A8960385,79.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A9482077,98.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A9884935,320.0,0.0
Agrolatina,C.H. ROBINSON - EDEN PRAIRIE,24A9927035,142.0,0.0
Agrolatina,COLLINS BROTHERS PRODUCE,24A0141661,480.0,0.0
Agrolatina,COLLINS BROTHERS PRODUCE,24A4336403,480.0,0.0
Agrolatina,COLLINS BROTHERS PRODUCE,24A4534923,720.0,0.0
Agrolatina,"GENERAL PRODUCE CO., LTD",24A6044525,33.0,0.0
Agrolatina,GOLD COAST BROKERAGE CORP,24A5473657,240.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A4305070,30.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A4520690,12.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A6021563,40.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A8436930,15.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A8580783,50.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A9482502,233.0,0.0
Agrolatina,"J&V TRUCKING CO, INC.",24A9865184,79.0,0.0
Agrolatina,J.P. JARJURA & SONS CO.,24A1600841,20.0,0.0
Agrolatina,J.P. JARJURA & SONS CO.,24A9749778,30.0,0.0
Agrolatina,"JSTAR PRODUCE, LLC.",24A8723175,929.0,0.0
Agrolatina,"JSTAR PRODUCE, LLC.",24A9086538,800.0,0.0
Agrolatina,"JSTAR PRODUCE, LLC.",24A9092269,240.0,0.0
Agrolatina,KROGER,24A4267616,40.0,0.0
Agrolatina,KROGER,24A4483934,30.0,0.0
Agrolatina,KROGER,24A8938389,80.0,0.0
Agrolatina,"LA KARMA PRODUCE, LLC",24A1197625,202.0,0.0
Agrolatina,"LA KARMA PRODUCE, LLC",24A1204679,38.0,0.0
Agrolatina,"LA KARMA PRODUCE, LLC",24A1473976,40.0,0.0
Agrolatina,"LA KARMA PRODUCE, LLC",24A6034471,240.0,0.0
Agrolatina,"LA KARMA PRODUCE, LLC",24A6154625,80.0,0.0
Agrolatina,"MADERA PRODUCE, INC",24A8181984,85.0,0.0
Agrolatina,"MADERA PRODUCE, INC",24A8651249,170.0,0.0
Agrolatina,"MILLER QUALITY PRODUCE, INC.",24A9467691,240.0,0.0
Agrolatina,"MILLER QUALITY PRODUCE, INC.",24A9884935,560.0,0.0
Agrolatina,MONROE & SONS PRODUCE DIST.,24A9181230,170.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A0218526,80.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A0470672,160.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A3025095,160.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A3395989,80.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A6194849,80.0,0.0
Agrolatina,"PRIME PRODUCE, INC.",24A8004043,80.0,0.0
