Exporter,Lotid,Date,Movement,Quantity,Inventory Balance,Days In Inventory,Variety,Packaging Style
Agrolatina,24A0005623,03/13/2025,Entry,240.0,240.0,0,AUTUMN CRISP,Clam
Agrolatina,24A0005623,03/13/2025,Entry,1360.0,1600.0,0,AUTUMN CRISP,Clam
Agrolatina,24A0005623,03/28/2025,Sale,-80.0,1520.0,15,AUTUMN CRISP,Clam
Agrolatina,24A0005623,03/29/2025,Sale,-240.0,1280.0,16,AUTUMN CRISP,Clam
Agrolatina,24A0005623,03/31/2025,Sale,-960.0,320.0,18,AUTUMN CRISP,Clam
Agrolatina,24A0005623,04/01/2025,Sale,-160.0,160.0,19,AUTUMN CRISP,Clam
Agrolatina,24A0005623,04/01/2025,Sale,-160.0,0.0,19,AUTUMN CRISP,Clam
Agrolatina,24A0026441,03/03/2025,Entry,1120.0,1120.0,0,TIMCO,Clam
Agrolatina,24A0026441,03/03/2025,Entry,480.0,1600.0,0,TIMCO,Clam
Agrolatina,24A0026441,03/27/2025,Sale,-320.0,1280.0,24,TIMCO,Clam
Agrolatina,24A0026441,04/01/2025,Sale,-80.0,1200.0,29,TIMCO,Clam
Agrolatina,24A0026441,04/01/2025,Sale,-480.0,720.0,29,TIMCO,Clam
Agrolatina,24A0026441,04/02/2025,Sale,-240.0,480.0,30,TIMCO,Clam
Agrolatina,24A0026441,04/02/2025,Sale,-320.0,160.0,30,TIMCO,Clam
Agrolatina,24A0026441,04/03/2025,Sale,-80.0,80.0,31,TIMCO,Clam
Agrolatina,24A0057740,02/24/2025,Entry,1280.0,1280.0,0,TIMCO,Clam
Agrolatina,24A0057740,02/24/2025,Entry,320.0,1600.0,0,TIMCO,Clam
Agrolatina,24A0066022,03/03/2025,Entry,1360.0,1360.0,0,TIMCO,Clam
Agrolatina,24A0066022,03/03/2025,Entry,240.0,1600.0,0,TIMCO,Clam
Agrolatina,24A0066022,03/21/2025,Sale,-480.0,1120.0,18,TIMCO,Clam
Agrolatina,24A0066022,03/24/2025,Sale,-800.0,320.0,21,TIMCO,Clam
Agrolatina,24A0066022,03/26/2025,Sale,-80.0,240.0,23,TIMCO,Clam
Agrolatina,24A0066022,03/29/2025,Sale,-80.0,160.0,26,TIMCO,Clam
Agrolatina,24A0066022,03/29/2025,Sale,-80.0,80.0,26,TIMCO,Clam
Agrolatina,24A0066022,03/31/2025,Sale,-80.0,0.0,28,TIMCO,Clam
Agrolatina,24A0066887,02/13/2025,Entry,960.0,960.0,0,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/13/2025,Entry,640.0,1600.0,0,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/20/2025,Sale,-80.0,1520.0,7,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/24/2025,Sale,-480.0,1040.0,11,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/26/2025,Sale,-240.0,800.0,13,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/26/2025,Sale,-199.0,601.0,13,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/26/2025,Sale,-120.0,481.0,13,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/27/2025,Sale,-160.0,321.0,14,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/27/2025,Sale,-50.0,271.0,14,SWEET GLOBE,Clam
Agrolatina,24A0066887,02/27/2025,Sale,-15.0,256.0,14,SWEET GLOBE,Clam
Agrolatina,24A0066887,03/10/2025,Sale,-40.0,216.0,25,SWEET GLOBE,Clam
Agrolatina,24A0066887,03/11/2025,Sale,-10.0,206.0,26,SWEET GLOBE,Clam
Agrolatina,24A0066887,03/12/2025,Sale,-10.0,196.0,27,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/13/2025,Entry,960.0,960.0,0,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/13/2025,Entry,640.0,1600.0,0,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/21/2025,Sale,-160.0,1440.0,8,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/24/2025,Sale,-560.0,880.0,11,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/24/2025,Sale,-80.0,800.0,11,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/24/2025,Sale,-160.0,640.0,11,SWEET GLOBE,Clam
Agrolatina,24A0068302,02/26/2025,Sale,-130.0,510.0,13,SWEET GLOBE,Clam
